Cleantext,Target
the smet enantiomer expresses a  times higher afnity for the adrenergic receptor compared with the rmet enantiomer ,0
drug and metabolite concentrations were measured using gas chromatographymass spectrometry or liquid chromatography tandem mass spectrometry,1
without an intravenous lopinavir preparation we were unable to determine the relative contribution of changes in lopinavir bioavailability versus intrinsic clearance,0
vaginal examination was performed only in patients with intact membranes,0
few amoxicillin pharmacokinetic studies have been published,0
the antepostpartum cmax ratio was  with a  ci from  to ,1
the kinetic disposition of metoprolol was enantioselective in the control patients figure a table  with lower clf values for smet  vs  l h kg  table ,1
demographic characteristics of the  subjects  sd sublingual oral vaginal vaginal  water pvalue n   n   n   n   mean age years             nsa mean gestational age days             nsb mean weight kg             nsa mean height cm             nsa body surface area m             nsa aanova bkruskalwallis test,1
present affiliation froedtert hospital milwaukee wi present affiliation department of obstetrics and gynecology northshore university healthsystem evanston il present affiliation legacy medical groupmaternal fetal medicine portland  or present affiliation department of obstetrics and gynecology cedarssinai medical center los angeles ca nih public access author manuscript clin pharmacokinet,0
unbound darunavir was fold above the wt ec high viral suppression rates were maintained during pregnancy and no mtct was reported both studies concluded that dose adjustment to  mg of darunavirritonavir twice daily in pregnancy would not be necessary,1
informed consent was obtained from each participant before entering the study,0
the age at delivery was similar between both regimens median age was  and  years respectively,1
furthermore the product is easy to remove immediately at the onset oflabor or when an adverse reaction occurs,0
correlations between log concentrations in maternal and umbilical cord plasma or between log concentrations and dosedelivery interval were tested by simple linear regression,0
abdelrahman pharmd marlo jasek rnc whnpbc gary dv,0
university ofbritish columbia plasma concentrations of heparin were measured via the and institutional ethics approval were obtained surrogate biologic marker of antifactor xa activity with a following informed consent the subjects were randomized commercially available assay kit berichrom heparin dade to one of two treatment groups dalteparin fragmin pharma behring newark de using the amidolytic method with cia canada now pfizer canada mississauga canada or ufh chromogenic substrate according to teien and lie the assay hepalean organon canada ltd scarborough canada and has a lower limit of sensitivity of  iul and withinrun taught how to selfinject their heparin subcutaneously follow and betweenrun coefficients of variation of  and ing an empiric dosing schedule table   respectively when calibrated to  iul,0
the area under the curve was divided into trapezium segments according to the time intervals of blood sampling,0
